"filename", "language", "JSON", "JSON with Comments", "Markdown", "TypeScript", "HTML", "SCSS", "CSS", "JavaScript", "XML", "comment", "blank", "total"
"c:\Users\mail\Desktop\mathe-app\mathapp\README.md", "Markdown", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 14, 28
"c:\Users\mail\Desktop\mathe-app\mathapp\angular.json", "JSON", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 116
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\AppComponent.html", "HTML", 0, 0, 0, 0, 528, 0, 0, 0, 0, 2, 136, 666
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\ClassselectionComponent.html", "HTML", 0, 0, 0, 0, 494, 0, 0, 0, 0, 2, 139, 635
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\CodepageComponent.html", "HTML", 0, 0, 0, 0, 556, 0, 0, 0, 0, 2, 137, 695
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\ExerciseComponent.html", "HTML", 0, 0, 0, 0, 1315, 0, 0, 0, 0, 2, 275, 1592
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\LoadingpageComponent.html", "HTML", 0, 0, 0, 0, 316, 0, 0, 0, 0, 2, 104, 422
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\PuzzleComponent.html", "HTML", 0, 0, 0, 0, 810, 0, 0, 0, 0, 2, 173, 985
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\PuzzleresultpageComponent.html", "HTML", 0, 0, 0, 0, 334, 0, 0, 0, 0, 2, 115, 451
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\ResultpageComponent.html", "HTML", 0, 0, 0, 0, 567, 0, 0, 0, 0, 2, 149, 718
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\components\StartpageComponent.html", "HTML", 0, 0, 0, 0, 451, 0, 0, 0, 0, 2, 128, 581
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\coverage.html", "HTML", 0, 0, 0, 0, 340, 0, 0, 0, 0, 24, 38, 402
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\dependencies.html", "HTML", 0, 0, 0, 0, 112, 0, 0, 0, 0, 2, 37, 151
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\directives\ChangeBgDirective.html", "HTML", 0, 0, 0, 0, 328, 0, 0, 0, 0, 2, 84, 414
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\fonts\ionicons.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 2087, 3, 1, 2091
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\fonts\roboto-v15-latin-300.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 314, 0, 1, 315
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\fonts\roboto-v15-latin-700.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 310, 0, 1, 311
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\fonts\roboto-v15-latin-italic.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 323, 0, 1, 324
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\fonts\roboto-v15-latin-regular.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 308, 0, 1, 309
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\graph\dependencies.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 182, 34, 1, 217
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\images\compodoc-vectorise-inverted.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 199, 1, 2, 202
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\images\compodoc-vectorise.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 199, 1, 2, 202
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\images\coverage-badge-documentation.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\index.html", "HTML", 0, 0, 0, 0, 89, 0, 0, 0, 0, 2, 37, 128
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\injectables\DataService.html", "HTML", 0, 0, 0, 0, 817, 0, 0, 0, 0, 2, 174, 993
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\injectables\SharedService.html", "HTML", 0, 0, 0, 0, 1229, 0, 0, 0, 0, 2, 232, 1463
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\interfaces\Exercise.html", "HTML", 0, 0, 0, 0, 285, 0, 0, 0, 0, 2, 87, 374
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\interfaces\Puzzle.html", "HTML", 0, 0, 0, 0, 285, 0, 0, 0, 0, 2, 87, 374
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\interfaces\SchoolClass.html", "HTML", 0, 0, 0, 0, 205, 0, 0, 0, 0, 2, 64, 271
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\compodoc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 3, 15
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\lazy-load-graphs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 35, 0, 1, 9, 45
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\EventDispatcher.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 5
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\bootstrap-native.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\clipboard.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 6, 0, 7
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\custom-elements-es5-adapter.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 9, 3, 16
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\custom-elements.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 30, 0, 8, 1, 39
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\d3.v3.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 3
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\deep-iterator.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\es6-shim.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 2, 0, 9, 0, 11
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\htmlparser.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 21, 2, 24
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\innersvg.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 8, 0, 9
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\lit-html.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\prism.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 44, 0, 2, 1, 47
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\promise.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\svg-pan-zoom.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 0, 3
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\tablesort.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\tablesort.number.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 0, 6
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\vis.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 22, 0, 24, 0, 46
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\libs\zepto.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 2
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\menu-wc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 196, 0, 0, 4, 200
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\menu-wc_es5.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 21, 60
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\menu.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 294, 0, 8, 20, 322
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\routes.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 237, 0, 9, 35, 281
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\routes\routes_index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\search\lunr.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 5, 1, 7
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\search\search-lunr.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 54, 0, 0, 14, 68
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\search\search.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 219, 0, 15, 35, 269
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\search\search_index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 1, 5
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\sourceCode.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 7, 59
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\svg-pan-zoom.controls.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 48, 0, 0, 6, 54
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\tabs.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 1, 22
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\js\tree.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 134, 0, 2, 12, 148
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\miscellaneous\functions.html", "HTML", 0, 0, 0, 0, 141, 0, 0, 0, 0, 2, 46, 189
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\miscellaneous\variables.html", "HTML", 0, 0, 0, 0, 256, 0, 0, 0, 0, 2, 52, 310
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\modules.html", "HTML", 0, 0, 0, 0, 114, 0, 0, 0, 0, 2, 36, 152
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\modules\AppModule.html", "HTML", 0, 0, 0, 0, 435, 0, 0, 0, 0, 36, 56, 527
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\modules\AppModule\dependencies.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 182, 34, 1, 217
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\modules\AppRoutingModule.html", "HTML", 0, 0, 0, 0, 138, 0, 0, 0, 0, 2, 50, 190
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\overview.html", "HTML", 0, 0, 0, 0, 336, 0, 0, 0, 0, 36, 38, 410
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\pipes\CountDownPipe.html", "HTML", 0, 0, 0, 0, 188, 0, 0, 0, 0, 2, 61, 251
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\properties.html", "HTML", 0, 0, 0, 0, 82, 0, 0, 0, 0, 2, 36, 120
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\routes.html", "HTML", 0, 0, 0, 0, 83, 0, 0, 0, 0, 2, 38, 123
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\bootstrap-card.css", "CSS", 0, 0, 0, 0, 0, 0, 192, 0, 0, 0, 28, 220
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\bootstrap.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 6
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\compodoc.css", "CSS", 0, 0, 0, 0, 0, 0, 835, 0, 0, 46, 202, 1083
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\dark.css", "CSS", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 22, 118
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\ionicons.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 10, 1, 12
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\laravel.css", "CSS", 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 17, 114
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\material.css", "CSS", 0, 0, 0, 0, 0, 0, 101, 0, 0, 7, 24, 132
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\original.css", "CSS", 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 10, 52
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\postmark.css", "CSS", 0, 0, 0, 0, 0, 0, 184, 0, 0, 16, 39, 239
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\prism.css", "CSS", 0, 0, 0, 0, 0, 0, 243, 0, 0, 15, 44, 302
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\readthedocs.css", "CSS", 0, 0, 0, 0, 0, 0, 96, 0, 0, 0, 22, 118
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\reset.css", "CSS", 0, 0, 0, 0, 0, 0, 123, 0, 0, 5, 2, 130
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\stripe.css", "CSS", 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 17, 107
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\style.css", "CSS", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 1, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\tablesort.css", "CSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 5, 34
"c:\Users\mail\Desktop\mathe-app\mathapp\documentation\styles\vagrant.css", "CSS", 0, 0, 0, 0, 0, 0, 110, 0, 0, 0, 21, 131
"c:\Users\mail\Desktop\mathe-app\mathapp\firebase.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"c:\Users\mail\Desktop\mathe-app\mathapp\karma.conf.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 37, 0, 6, 2, 45
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v10\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v11\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v12\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v13\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v14\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v1\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v2\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v3\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v4\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v5\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v6\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v7\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\mockdata-v9\firebase-export-metadata.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\mail\Desktop\mathe-app\mathapp\package-lock.json", "JSON", 25953, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25954
